verse,start_ms,end_ms,status,notes
1,4700,8900,skipped,too short for verse vocal clip (4200ms < 5000ms)
2,11500,15000,skipped,too short for verse vocal clip (3500ms < 5000ms)
3,17600,20500,skipped,too short for verse vocal clip (2900ms < 5000ms)
4,24900,29300,skipped,too short for verse vocal clip (4400ms < 5000ms)
5,32000,36800,skipped,too short for verse vocal clip (4800ms < 5000ms)
6,39900,44200,skipped,too short for verse vocal clip (4300ms < 5000ms)
7,49500,51000,skipped,too short for verse vocal clip (1500ms < 5000ms)
8,53500,87200,review,"uncertain vocal/music mix; voiced_ratio=0.47, voice_over_low=7.86dB"
9,88600,117000,keep,"vocal energy strong; voiced_ratio=0.49, voice_over_low=8.54dB"
10,118000,317200,review,"uncertain vocal/music mix; voiced_ratio=0.45, voice_over_low=3.85dB"
11,318800,420700,review,"uncertain vocal/music mix; voiced_ratio=0.40, voice_over_low=3.57dB"
12,425100,428600,skipped,too short for verse vocal clip (3500ms < 5000ms)
13,430400,435000,skipped,too short for verse vocal clip (4600ms < 5000ms)
14,437400,457600,review,"uncertain vocal/music mix; voiced_ratio=0.44, voice_over_low=9.47dB"
15,459200,462000,skipped,too short for verse vocal clip (2800ms < 5000ms)
16,464000,558500,review,"uncertain vocal/music mix; voiced_ratio=0.45, voice_over_low=3.66dB"
17,560100,564700,skipped,too short for verse vocal clip (4600ms < 5000ms)
18,566300,632300,keep,"vocal energy strong; voiced_ratio=0.51, voice_over_low=3.51dB"
19,633600,639300,keep,"vocal energy strong; voiced_ratio=0.84, voice_over_low=16.32dB"
20,640500,651100,keep,"vocal energy strong; voiced_ratio=0.60, voice_over_low=15.09dB"
21,652100,653300,skipped,too short for verse vocal clip (1200ms < 5000ms)
22,655700,676400,keep,"vocal energy strong; voiced_ratio=0.51, voice_over_low=10.74dB"
23,677500,678200,skipped,too short for verse vocal clip (700ms < 5000ms)
24,680500,684100,skipped,too short for verse vocal clip (3600ms < 5000ms)
25,685600,719100,review,"uncertain vocal/music mix; voiced_ratio=0.47, voice_over_low=10.24dB"
26,735300,737200,skipped,too short for verse vocal clip (1900ms < 5000ms)
27,739000,761300,keep,"vocal energy strong; voiced_ratio=0.57, voice_over_low=10.13dB"
28,763100,766900,skipped,too short for verse vocal clip (3800ms < 5000ms)
29,769200,787600,review,"uncertain vocal/music mix; voiced_ratio=0.43, voice_over_low=7.65dB"
30,788900,790200,skipped,too short for verse vocal clip (1300ms < 5000ms)
