verse,start_ms,end_ms,transliteration,notes
1,4420,10840,dhṛtarāṣṭra uvāca . dharmakṣetre kurukṣetre samavetā yuyutsavaḥ . māmakāḥ pāṇḍavāścaiva kimakurvata sañjaya ||1-1||,suggested; review before export
2,11470,23940,sañjaya uvāca . dṛṣṭvā tu pāṇḍavānīkaṃ vyūḍhaṃ duryodhanastadā . ācāryamupasaṃgamya rājā vacanamabravīt ||1-2||,suggested; review before export
3,24880,37800,paśyaitāṃ pāṇḍuputrāṇāmācārya mahatīṃ camūm . vyūḍhāṃ drupadaputreṇa tava śiṣyeṇa dhīmatā ||1-3||,suggested; review before export
4,37980,48710,atra śūrā maheṣvāsā bhīmārjunasamā yudhi . yuyudhāno virāṭaśca drupadaśca mahārathaḥ ||1-4||,suggested; review before export
5,49180,51850,dhṛṣṭaketuścekitānaḥ kāśirājaśca vīryavān . purujitkuntibhojaśca śaibyaśca narapuṃgavaḥ ||1-5||,suggested; review before export
6,53330,424260,yudhāmanyuśca vikrānta uttamaujāśca vīryavān . saubhadro draupadeyāśca sarva eva mahārathāḥ ||1-6||,suggested; review before export
7,425120,429530,asmākaṃ tu viśiṣṭā ye tānnibodha dvijottama . nāyakā mama sainyasya saṃjñārthaṃ tānbravīmi te ||1-7||,suggested; review before export
8,429910,632680,bhavānbhīṣmaśca karṇaśca kṛpaśca samitiñjayaḥ . aśvatthāmā vikarṇaśca saumadattistathaiva ca ||1-8||,suggested; review before export
9,633640,639780,anye ca bahavaḥ śūrā madarthe tyaktajīvitāḥ . nānāśastrapraharaṇāḥ sarve yuddhaviśāradāḥ ||1-9||,suggested; review before export
10,640470,647060,aparyāptaṃ tadasmākaṃ balaṃ bhīṣmābhirakṣitam . paryāptaṃ tvidameteṣāṃ balaṃ bhīmābhirakṣitam ||1-10||,suggested; review before export
11,647200,679680,ayaneṣu ca sarveṣu yathābhāgamavasthitāḥ . bhīṣmamevābhirakṣantu bhavantaḥ sarva eva hi ||1-11||,suggested; review before export
12,680560,684950,tasya sañjanayanharṣaṃ kuruvṛddhaḥ pitāmahaḥ . siṃhanādaṃ vinadyoccaiḥ śaṅkhaṃ dadhmau pratāpavān ||1-12||,suggested; review before export
13,685350,706400,tataḥ śaṅkhāśca bheryaśca paṇavānakagomukhāḥ . sahasaivābhyahanyanta sa śabdastumulo.abhavat ||1-13||,suggested; review before export
14,706750,724030,tataḥ śvetairhayairyukte mahati syandane sthitau . mādhavaḥ pāṇḍavaścaiva divyau śaṅkhau pradadhmatuḥ ||1-14||,suggested; review before export
15,724610,727220,pāñcajanyaṃ hṛṣīkeśo devadattaṃ dhanañjayaḥ . pauṇḍraṃ dadhmau mahāśaṅkhaṃ bhīmakarmā vṛkodaraḥ ||1-15||,suggested; review before export
16,727520,734820,anantavijayaṃ rājā kuntīputro yudhiṣṭhiraḥ . nakulaḥ sahadevaśca sughoṣamaṇipuṣpakau ||1-16||,suggested; review before export
17,735290,737660,kāśyaśca parameṣvāsaḥ śikhaṇḍī ca mahārathaḥ . dhṛṣṭadyumno virāṭaśca sātyakiścāparājitaḥ ||1-17||,suggested; review before export
18,738860,762460,drupado draupadeyāśca sarvaśaḥ pṛthivīpate . saubhadraśca mahābāhuḥ śaṅkhāndadhmuḥ pṛthakpṛthak ||1-18||,suggested; review before export
19,763090,819540,sa ghoṣo dhārtarāṣṭrāṇāṃ hṛdayāni vyadārayat . nabhaśca pṛthivīṃ caiva tumulo.abhyanunādayan (lo vyanu)||1-19||,suggested; review before export
20,820190,825540,atha vyavasthitāndṛṣṭvā dhārtarāṣṭrān kapidhvajaḥ . pravṛtte śastrasampāte dhanurudyamya pāṇḍavaḥ ||1-20||,suggested; review before export
21,826500,830110,hṛṣīkeśaṃ tadā vākyamidamāha mahīpate . arjuna uvāca . senayorubhayormadhye rathaṃ sthāpaya me.acyuta ||1-21||,suggested; review before export
